,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_36', 'y_118']",10,"['58142182', 'A8B55784', 'C90F1016', '5CE4F687', '3ED64E7C', '4CCB20BB', '7C5483A5', 'B9A1ADDE', '7D0E5614', '8230CBE3', '29A0C5DE', 'A4F92E0A', 'FE05A6CF', 'C237BA2F', '43F86A0A', 'EA405285', 'F63435DD', '43D247C5', 'EAA30847', '4D25F740', '2C244271', '66C4FA78', '3BC83319', 'EEB2A519']",10,Died
creature_1,"['x_22', 'y_25']",10,"['65E63116', 'D3A76EFE', '20DB0FC0', '524627BF', 'F787176E', '07549DA1', '1C5890C4', 'B70BB4B5', 'E1EE878A', '189BF95E', 'F5B67489', '466EB8E8', '48A53A75', '87FCC1BF', '0924D56B', 'C246F1F3', '8B0F9F53', '577D7918', '45193451', 'BCC8953E', 'B092BB34', '9A31595B', '9BD035B3', 'C403F493']",10,Died
creature_2,"['x_110', 'y_20']",10,"['96D2146E', '186E2438', 'B9CB6DAE', 'CD098C71', '99ADBC81', 'C1E44E7E', 'C7D1A4D5', '99DED9B1', '9AA27761', 'BF074E4D', 'A15BC78F', 'B7CE9A5E', 'C321E1DF', 'B3983810', '16F36553', '446B56F1', '1AAD16CD', '40E5EA7F', 'A90FEF02', 'D83AD540', '088424B2', '140FAB48', '8C08DCDB', 'CA078BE2']",10,Survived
creature_3,"['x_101', 'y_0']",10,"['BD83C92C', '0B47A079', 'E1AA35EC', 'B3119256', 'E3D7BEF0', '9CC9F3BF', '3F7D03A2', 'F3B94A24', '084950AF', '8A1BCE41', '2A5D36E0', 'EA422DE1', 'CD74DC54', '8EC591D0', 'C3E32C04', '3B9BF377', '68B9EB71', 'A27D2BD3', '351F5387', 'CB0DB3EC', 'EE38CB59', '478005E6', '0635A564', 'BE9ECA66']",10,Survived
creature_4,"['x_118', 'y_54']",19,"['F4986518', 'C36B7FA6', 'A812B3C5', 'E8AFA0DD', 'CF5C5DFC', '4D646B11', 'C7AD87C0', '5F04FEB3', 'C8EBCC25', '16FE264B', '161C531E', '1F68AB27', '753A74FE', '1555A272', '3B026A97', '024E7412', '351B1597', '13C86BDE', '9A6FA912', '9004A11F', '9C23A1CC', 'C35B5998', '4C33CF58', '19FCB933']",10,Survived
creature_5,"['x_112', 'y_44']",10,"['0551CF5A', 'C5506B35', '9AEE2B28', '885DE127', 'BB621AE2', 'F3518205', 'BC1B313A', '517EFE1A', '9B66854F', '888AA3E5', '6CA30913', 'C79DFA2A', '9FAB0745', '28D47FF9', 'CAE370BB', '2D82C6D2', '8FB9FB50', 'FE4C6992', '89A15E29', '316521BF', '3752B956', '550DBC8B', 'CBD9A0B5', '0FC72585']",10,Survived
creature_6,"['x_34', 'y_15']",10,"['C5ED8D5C', '8E717E43', '6ADEBD13', 'DCC800CF', '5B25B508', 'D4820BBB', 'E6C55E69', 'E27F656E', '3DDFDF5F', '369F79CE', 'E9A81806', '2A057DA9', 'B4E969CD', '3E01EA21', 'DD095D04', '848ABC75', '6950D72D', 'D25A7088', 'F6F20896', '056761F4', '52B23EE9', 'D71EFDE0', '0447199F', '7FE20F54']",10,Died
creature_7,"['x_120', 'y_82']",18,"['462DF4B3', '4F06E80D', '5E52D95D', '0C0921DC', '62A54407', 'FA31689F', 'BCB75E48', '36106971', '6BCF67DE', '20FEF6E2', '2FBC14E3', 'E12128C4', '1170F6FF', '48ED98CA', 'D6AC6CEA', '68E3D72D', 'E9F1572C', '8E121B6A', '75971171', '84B10D22', '437ECABB', 'F2D8860A', 'D323D676', '75390989']",10,Survived
creature_8,"['x_98', 'y_82']",10,"['E956EEE9', '31F94A14', '723D33E6', '0CD88EC9', '4E98C878', '78B30439', '7E06BB6A', '43F21024', 'BD659891', '119154F3', '5D2BFCC1', '82A595BF', '391AD55A', '8CA3E154', '8F74DDF8', 'A52D2AE7', 'D6F8E6FD', '8D2D2BF0', '080E0AB8', 'C3D8778B', 'C853F069', '80523D53', 'B192446E', 'F914B081']",10,Survived
creature_9,"['x_18', 'y_119']",13,"['A1E008F6', 'D1A963D9', 'E039DD76', '0482DFDF', 'B45A8515', '70E69B80', '4184EA57', '0A8F1312', '87EFC82C', '31DEE757', 'C9D5289D', 'C5B9DF4B', '24AC2358', '36E3E808', '9AB30740', '0A8DE073', 'CEB404FE', '8449C543', '35989E31', '7A76E347', '7EAC3E47', 'C6229A8A', '31268151', '5D08104C']",10,Died
creature_10,"['x_45', 'y_30']",10,"['80266C74', '0CD692C1', 'F2A87309', '3F5DE39E', 'EFC2004B', '1980210B', '0509F1A0', 'B627D7E4', 'AF882D31', 'A9A20385', 'B5BA2040', '1FE51538', 'C2147455', '9CD3952D', '7286D4D3', 'DB3435FC', 'AF0973B0', '7489D091', 'D4CDDD44', 'E065D8DE', '39B5E541', '96F68570', '1679DC75', 'D59989CF']",10,Died
creature_11,"['x_49', 'y_115']",20,"['FCE982EB', '7FEF9482', '89E448B5', '80A008A3', 'A9D2C774', '7706814C', '4CCF9B01', '51629763', '0CEC8C06', '08E3B593', '1C914F16', '861F1715', 'AE807F44', 'F2178B13', '6A7B6AF2', '5999291F', '3690D17C', '300140D7', 'FAF68593', '5AA01BD0', 'EEDA5CD6', '81FFE162', '55C8BA4E', 'F4913F32']",10,Died
creature_12,"['x_43', 'y_89']",10,"['0AD2F0EE', '8A8675B1', '81743A4A', 'DB681407', '386C7ECA', 'DF50B961', '5730FB20', '6D91011F', 'EFB79BB7', '1BC0793A', 'F835F12C', '88BAC523', '7D2C40A6', '816FEDFE', '59615488', 'E3FFA219', 'C7C2114E', '7F7E539B', '87C8B527', '87D5C8A6', 'FCD9B441', 'F4530817', '64CB73B9', '453A5443']",10,Died
creature_13,"['x_82', 'y_8']",10,"['F400367A', '97942616', '413E6C8C', '4122C4F0', '5AA73CF8', 'F72A3465', '0C2D599B', '29AEB26D', '24E76AD9', '1EF5231B', 'D80FD87C', '8AE85FA1', '10B33502', '724B2A46', 'DB4704D8', 'FB601542', '653ABCBA', '1DD74161', '7CBBAF02', 'D6267489', 'AF7F0AAA', 'E95FC1C1', 'D2420C82', '6A557F0C']",10,Survived
creature_14,"['x_39', 'y_108']",10,"['7F4296C6', 'AF49DC09', '91D93F93', '251A98EB', '2BDC1B76', '926CE7E1', '7F128376', 'CA6939E5', 'B9E91F26', '2E6219DF', '90AE92CA', '676902AA', '6257CA66', '93197CCA', 'E1E391AE', 'D610553F', '82397F0B', '114FDAC9', 'DB230F76', '1A144996', '2D9A5D51', 'B032C7D1', '46A6E385', '85096C03']",10,Died
creature_15,"['x_122', 'y_84']",10,"['1F0E39A5', '4E3C87AD', '987357B6', '6E31DC5B', 'B8B46968', 'E3A45856', '9FCA0E27', 'E0803645', '6F1BCD59', '7C366878', '7C8C4C3D', 'F26C5C09', 'C5676215', '72243C2B', '9D9B861F', 'D3915F73', 'DE33D0AB', '1FB52480', '72ED803E', '35D84FEF', 'BD63C9C8', '96E470D5', '6894BCDF', '660CFD30']",10,Survived
creature_16,"['x_16', 'y_53']",17,"['CE40D292', 'DAB6098A', '3A26792E', '9BB910C4', '68F31BD2', 'F8374A87', '3707B137', '662F01DE', '9433AF65', '27FC4A60', '2894E48D', 'F5072DF7', '5865FEEF', '07FF86CC', 'FD42198B', 'F040F7E1', '30ACA3EE', 'BDCA3A4B', '8DE4B584', '541118EE', '444E3C5B', 'F4D7DA2D', 'D754CC95', 'A3961F86']",10,Died
creature_17,"['x_76', 'y_118']",10,"['CD3DA039', '6417C08F', 'EC91107E', '8EC1D749', 'B9552720', '075DDA0E', '7114A638', 'B8F87A4E', 'D8B565F7', '2F2AABD3', '9A1B70FA', '0AC31EFF', 'CB7F07FE', '53E701D6', '44E80528', '09124A96', 'CDC3B077', 'FB8BDE72', 'C6CF26DC', '873C7197', 'E93A7C8C', '4BF0C0F3', 'E57B1FAF', '8E7C0698']",10,Survived
creature_18,"['x_11', 'y_69']",10,"['57639EFC', '5D5B27B8', '47CBE450', '19A4A553', '885557AC', '70E56252', 'C928DD92', '4F54DA29', 'CE3115E2', '52BBC1F0', '04D767B0', 'EC719F2F', 'CDEAFE17', '35A6B1A6', 'ED76C6B4', '02ED9B97', '4F1B0FD0', '6A5634D6', '8A92E0A0', '42FE833B', '09F3075D', '53CCAEC2', 'FDA417A6', 'E3D854AA']",10,Died
creature_19,"['x_119', 'y_107']",10,"['CE8C4D4F', 'F4044D76', '0113DEB6', '56FE0437', '07E21D25', '183AB14D', 'D748B533', '35494338', '2F6C2A7F', '16E3320E', '3E67EBBE', '2C519F3B', '9541E701', '591217E1', '6FEB7A23', 'FF699A0E', '31FE1746', '54109D5A', '5D173ABA', '9A66FB2C', '4B21DD7E', 'B0DE9A7B', 'A348007A', '36DA7DC7']",10,Survived
creature_20,"['x_109', 'y_80']",10,"['7D6F39AE', '20D6F410', 'C2104912', '18DB2C09', 'AC7A9BDE', '2F31BF97', '8B52AD43', 'D442A7F8', 'F55AF0A1', '1BD92FF8', '8A13BEB7', '426C1EC5', 'EFDD3D9F', '94AAFE0C', '3D9FBFB2', 'AC75A97C', '915578CC', 'DEA7DEE9', '070F9A05', 'C0B7D933', '257C0562', '64268361', '933EB9F0', '1B4AF808']",10,Survived
creature_21,"['x_73', 'y_100']",10,"['FCDBDCB9', 'A343F8D3', '0D1D5C64', '2311B2F4', 'F3FF69D0', '5FD02ADE', 'E0527A76', '4DA1556E', '910114D6', 'C2FA4EE0', 'C392EB8F', 'FB001E1B', '872F7E40', '03387B1A', 'CEA23B3F', '5FE4C54A', '2929F7C1', '1AD3EE6E', 'DD2BB2F1', '6AC727CA', 'F4548CE1', 'E6C4A417', 'C3CEBE3B', '32067E79']",10,Survived
creature_22,"['x_17', 'y_34']",10,"['63BB8983', '189E5977', 'E6ED47A7', '4FDFD957', 'F1625879', '32EF2EC3', 'FC55678C', '866B69FD', '63D64306', '663448B2', '4C97CF2D', '00C0C4B2', '420C904C', 'BF5C8A2D', 'E96A83B3', 'E8252DF2', '7B22BBFD', '95F40E40', 'E23524F8', '4BAD6B21', 'E01840BF', 'D42EB420', '7651CBE2', '5321458A']",10,Died
creature_23,"['x_6', 'y_111']",16,"['53C8CBB1', '5CF0F0EC', '0273EF2D', '80E69801', '3A384C9C', 'E34A1F84', 'EC774236', 'AC95EEF6', '5D194F03', '042AD90C', '868A5765', '8671C028', '822004DE', 'E5C56738', '40DDE765', '52201017', '512232B4', 'C0B51448', '95FF4193', '380C2758', '73FAA44D', '8CEC1FD6', '2784FBD2', '75FEF8F7']",10,Died
creature_24,"['x_127', 'y_101']",20,"['28B4E487', 'E31FEBEF', '36BF1EB4', 'F5FC448B', '39B21171', 'D4E1B8E1', '5C55D7CF', '605469AE', '4BE1FF70', 'C17AA4CA', '7B514A40', '0FF16212', '7A51C62B', 'B79ECB09', '35F57880', '1B086D19', '7DFCD0E3', '324AA816', '39F1C2DE', '017C0D66', 'A11B2513', 'A7781A38', '7E02AB57', 'F0A1C4A1']",10,Survived
